Quarter,Management Consulting Services Total (£m),Gross Added Value,Hours Worked,Hourly Output
2014 Q3,12433.3,67.38568865195239,84.03273884135002,80.18980409429885
2014 Q4,13199.5,66.31076269301983,83.34172664431527,79.56490147608771
2015 Q1,13322.1,65.8747078228868,90.07848743906932,73.1303440984681
2015 Q2,13783.7,65.11414700288734,85.50186466856093,76.15523621069029
2015 Q3,13784.3,65.27639997782056,86.56730618570684,75.40537282953866
2015 Q4,14647.5,66.12822809621996,90.28992841976766,73.2398721026587
2016 Q1,14614.7,65.71245484795358,89.57615929858724,73.35931274850935
2016 Q2,16001.3,67.5783640596856,93.67866528078612,72.13847876368726
2016 Q3,15811.6,69.9817362508839,94.01724483463539,74.435000061928
2016 Q4,17241.8,69.09948569968452,98.48391876289452,70.16321706901745
2017 Q1,17069.9,70.27581976795037,95.51591801820392,73.57498229201627
2017 Q2,17265.1,69.97159543995058,94.91904451347851,73.7171300012555
2017 Q3,17291.4,69.39356921675099,87.49869619443116,79.30811798903981
2017 Q4,18499.6,70.49891760848352,91.58049444549617,76.98027624260175
2018 Q1,16426.8,70.03244030555054,95.88259673936322,73.0397827000024
2018 Q2,16857.6,69.39356921675099,96.74433586025047,71.72881864318306
2018 Q3,16989.7,69.78906084315071,98.06932916520053,71.16298381687615
2018 Q4,18833.9,70.15413003675044,95.17845956584647,73.70799060707249
2019 Q1,17776.3,69.38342840581765,96.37708899266525,71.99162075864112
2019 Q2,18269.3,72.96313466528179,95.98054672685126,76.01866956741327
2019 Q3,18899.3,73.67299143061462,96.78613920209872,76.11936175775988
2019 Q4,19626.5,73.09496520741503,95.76858140487383,76.32457757560047
2020 Q1,17724.5,70.65102977248343,92.855342227152,76.08719980768561
2020 Q2,15127.9,62.11246696662279,88.51369670619789,70.1727182096932
2020 Q3,15749.9,64.99245727168741,92.36984295276389,70.3611213293101
2020 Q4,17113.6,67.18287243328587,96.36087921096993,69.72006999458512
2021 Q1,17534.1,73.2774998042149,95.19659442349824,76.97491727301444
2021 Q2,17584.3,78.5912847332778,95.43767312033519,82.34828256362015
2021 Q3,18294.4,80.4470531340765,96.96127959084048,82.96822553657383
2021 Q4,20322.6,83.68197182180755,100.45807534471571,83.30039325824029
2022 Q1,19102.9,83.49943722500768,98.86285230867298,84.45987069471032
2022 Q2,20170.7,90.69941298766926,98.86820849316169,91.73769239880838
2022 Q3,20394.7,90.23293568473626,103.66021261120217,87.04683640112955
2022 Q4,21536.8,95.93207142926556,100.03850777105825,95.89514434662459
2023 Q1,21505.0,99.83628363859614,106.5531814792164,93.69620151423597
2023 Q2,21371.4,101.67177041752821,104.58520002229783,97.21430029856185
2023 Q3,20619.9,97.59516442233105,101.80297314891604,95.86671332238016
2023 Q4,23210.1,97.32136252713126,105.94656754958609,91.85891037157197
2024 Q1,22778.5,98.26445794393058,106.04954819216393,92.6590066804182
2024 Q2,22212.1,96.05376116046547,109.49484706647334,87.7244580305702
2024 Q3,23002.4,97.24023603966464,112.53971133593775,86.405265204028
2024 Q4,24037.7,97.14896874126471,109.7382787636753,88.5278772692234
2025 Q1,23566.0,98.94389227646343,111.58460198407555,88.67163615512462
2025 Q2,22688.6,100.8402239209954,113.47299823895577,88.86715384803894
